# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 51.499, -0.178 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "51.49904329102422", "lon": "-0.17807716542054033", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "40", "azim": "176", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 00:00,0,0,0,4.977,0
2015-01-01 01:00,2015-01-01 01:00,0,0,0,5.371,0
2015-01-01 02:00,2015-01-01 02:00,0,0,0,5.719,0
2015-01-01 03:00,2015-01-01 03:00,0,0,0,5.878,0
2015-01-01 04:00,2015-01-01 04:00,0,0,0,6.015,0
2015-01-01 05:00,2015-01-01 05:00,0,0,0,6.228,0
2015-01-01 06:00,2015-01-01 06:00,0,0,0,6.357,0
2015-01-01 07:00,2015-01-01 07:00,0,0,0,6.337,0
2015-01-01 08:00,2015-01-01 08:00,0,0,0.001,6.508,0
2015-01-01 09:00,2015-01-01 09:00,0.002,0,0.010,6.763,0
2015-01-01 10:00,2015-01-01 10:00,0.009,0,0.020,7.096,0
2015-01-01 11:00,2015-01-01 11:00,0.025,0,0.040,7.535,0
2015-01-01 12:00,2015-01-01 12:00,0.045,0.002,0.061,7.842,0
2015-01-01 13:00,2015-01-01 13:00,0.027,0,0.042,7.981,0
2015-01-01 14:00,2015-01-01 14:00,0.020,0.001,0.034,8.028,0
2015-01-01 15:00,2015-01-01 15:00,0.006,0,0.016,8.059,0
2015-01-01 16:00,2015-01-01 16:00,0,0,0,8.177,0
2015-01-01 17:00,2015-01-01 17:00,0,0,0,8.542,0
2015-01-01 18:00,2015-01-01 18:00,0,0,0,8.906,0
2015-01-01 19:00,2015-01-01 19:00,0,0,0,9.172,0
2015-01-01 20:00,2015-01-01 20:00,0,0,0,9.430,0
2015-01-01 21:00,2015-01-01 21:00,0,0,0,9.726,0
2015-01-01 22:00,2015-01-01 22:00,0,0,0,10.076,0
2015-01-01 23:00,2015-01-01 23:00,0,0,0,10.466,0
2015-01-02 00:00,2015-01-02 00:00,0,0,0,10.859,0
2015-01-02 01:00,2015-01-02 01:00,0,0,0,11.229,0
2015-01-02 02:00,2015-01-02 02:00,0,0,0,11.552,0
2015-01-02 03:00,2015-01-02 03:00,0,0,0,11.356,0
2015-01-02 04:00,2015-01-02 04:00,0,0,0,9.985,0
2015-01-02 05:00,2015-01-02 05:00,0,0,0,8.352,0
2015-01-02 06:00,2015-01-02 06:00,0,0,0,7.490,0
2015-01-02 07:00,2015-01-02 07:00,0,0,0,6.817,0
2015-01-02 08:00,2015-01-02 08:00,0.022,0.032,0.005,6.245,0
2015-01-02 09:00,2015-01-02 09:00,0.214,0.211,0.029,6.176,0
2015-01-02 10:00,2015-01-02 10:00,0.404,0.398,0.052,6.736,0
2015-01-02 11:00,2015-01-02 11:00,0.438,0.413,0.077,7.512,0
2015-01-02 12:00,2015-01-02 12:00,0.451,0.419,0.087,7.964,0
2015-01-02 13:00,2015-01-02 13:00,0.427,0.395,0.083,7.905,0
2015-01-02 14:00,2015-01-02 14:00,0.304,0.267,0.070,7.226,0
2015-01-02 15:00,2015-01-02 15:00,0.078,0.062,0.035,5.643,0
2015-01-02 16:00,2015-01-02 16:00,0,0,0,3.769,0
2015-01-02 17:00,2015-01-02 17:00,0,0,0,3.018,0
2015-01-02 18:00,2015-01-02 18:00,0,0,0,3.046,0
2015-01-02 19:00,2015-01-02 19:00,0,0,0,3.033,0
2015-01-02 20:00,2015-01-02 20:00,0,0,0,2.128,0
2015-01-02 21:00,2015-01-02 21:00,0,0,0,1.398,0
2015-01-02 22:00,2015-01-02 22:00,0,0,0,2.283,0
2015-01-02 23:00,2015-01-02 23:00,0,0,0,2.416,0
2015-01-03 00:00,2015-01-03 00:00,0,0,0,2.253,0
2015-01-03 01:00,2015-01-03 01:00,0,0,0,1.707,0
2015-01-03 02:00,2015-01-03 02:00,0,0,0,1.936,0
2015-01-03 03:00,2015-01-03 03:00,0,0,0,2.410,0
2015-01-03 04:00,2015-01-03 04:00,0,0,0,2.773,0
2015-01-03 05:00,2015-01-03 05:00,0,0,0,2.836,0
2015-01-03 06:00,2015-01-03 06:00,0,0,0,3.132,0
2015-01-03 07:00,2015-01-03 07:00,0,0,0,3.273,0
2015-01-03 08:00,2015-01-03 08:00,0,0,0.001,3.660,0
2015-01-03 09:00,2015-01-03 09:00,0.008,0.001,0.017,4.253,0
2015-01-03 10:00,2015-01-03 10:00,0.142,0.100,0.063,5.039,0
2015-01-03 11:00,2015-01-03 11:00,0.037,0,0.053,5.698,0
2015-01-03 12:00,2015-01-03 12:00,0.025,0,0.039,6.472,0
2015-01-03 13:00,2015-01-03 13:00,0.041,0.001,0.058,6.786,0
2015-01-03 14:00,2015-01-03 14:00,0.027,0.001,0.042,6.468,0
2015-01-03 15:00,2015-01-03 15:00,0.004,0,0.012,5.411,0
2015-01-03 16:00,2015-01-03 16:00,0,0,0,3.607,0
2015-01-03 17:00,2015-01-03 17:00,0,0,0,2.602,0
2015-01-03 18:00,2015-01-03 18:00,0,0,0,2.487,0
2015-01-03 19:00,2015-01-03 19:00,0,0,0,2.241,0
2015-01-03 20:00,2015-01-03 20:00,0,0,0,1.939,0
2015-01-03 21:00,2015-01-03 21:00,0,0,0,1.723,0
2015-01-03 22:00,2015-01-03 22:00,0,0,0,1.733,0
2015-01-03 23:00,2015-01-03 23:00,0,0,0,1.799,0
2015-01-04 00:00,2015-01-04 00:00,0,0,0,1.374,0
2015-01-04 01:00,2015-01-04 01:00,0,0,0,0.634,0
2015-01-04 02:00,2015-01-04 02:00,0,0,0,-0.030,0
2015-01-04 03:00,2015-01-04 03:00,0,0,0,-0.576,0
2015-01-04 04:00,2015-01-04 04:00,0,0,0,-1.124,0
2015-01-04 05:00,2015-01-04 05:00,0,0,0,-1.292,0
2015-01-04 06:00,2015-01-04 06:00,0,0,0,-1.654,0
2015-01-04 07:00,2015-01-04 07:00,0,0,0,-1.922,0
2015-01-04 08:00,2015-01-04 08:00,0,0.001,0.004,-1.817,0
2015-01-04 09:00,2015-01-04 09:00,0.035,0.016,0.035,-1.235,0
2015-01-04 10:00,2015-01-04 10:00,0.046,0.006,0.055,-0.152,0
2015-01-04 11:00,2015-01-04 11:00,0.042,0,0.058,1.358,0
2015-01-04 12:00,2015-01-04 12:00,0.047,0,0.063,2.728,0
2015-01-04 13:00,2015-01-04 13:00,0.045,0.001,0.060,3.186,0
2015-01-04 14:00,2015-01-04 14:00,0.031,0.002,0.045,2.837,0
2015-01-04 15:00,2015-01-04 15:00,0.028,0.016,0.027,0.626,0
2015-01-04 16:00,2015-01-04 16:00,0,0,0,-0.486,0
2015-01-04 17:00,2015-01-04 17:00,0,0,0,0.053,0
