# Renewables.ninja Weather (Point API) - 51.499, -0.178 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/London, t2m in ºC, prectotland in mm/h, precsnoland in mm/h, snomas in kg/m², rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Europe/London", "t2m": "\u00baC", "prectotland": "mm/h", "precsnoland": "mm/h", "snomas": "kg/m\u00b2", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "51.49904329102422", "lon": "-0.17807716542054033", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": true, "var_snomas": true, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot
2023-01-01 00:00,2023-01-01 00:00,10.157,0.069,0,0,1.217,0,0,0.969
2023-01-01 01:00,2023-01-01 01:00,9.937,0.027,0,0,1.219,0,0,0.991
2023-01-01 02:00,2023-01-01 02:00,9.772,0.015,0,0,1.221,0,0,0.993
2023-01-01 03:00,2023-01-01 03:00,9.707,0.019,0,0,1.222,0,0,0.989
2023-01-01 04:00,2023-01-01 04:00,9.742,0.018,0,0,1.222,0,0,0.990
2023-01-01 05:00,2023-01-01 05:00,9.741,0.012,0,0,1.222,0,0,0.990
2023-01-01 06:00,2023-01-01 06:00,9.595,0.017,0,0,1.223,0,0,0.970
2023-01-01 07:00,2023-01-01 07:00,9.469,0.029,0,0,1.224,0,0,0.987
2023-01-01 08:00,2023-01-01 08:00,9.586,0.012,0,0,1.225,7.781,58.496,0.984
2023-01-01 09:00,2023-01-01 09:00,9.866,0.010,0,0,1.225,39.631,204.782,0.990
2023-01-01 10:00,2023-01-01 10:00,10.244,0.009,0,0,1.225,66.061,310.399,0.990
2023-01-01 11:00,2023-01-01 11:00,10.514,0.024,0,0,1.224,63.981,365.416,0.987
2023-01-01 12:00,2023-01-01 12:00,10.537,0.056,0,0,1.223,54.225,366.182,0.986
2023-01-01 13:00,2023-01-01 13:00,10.378,0.102,0,0,1.223,41.888,312.483,0.988
2023-01-01 14:00,2023-01-01 14:00,10.089,0.115,0,0,1.224,22.849,208.158,0.989
2023-01-01 15:00,2023-01-01 15:00,9.761,0.240,0,0,1.225,5.478,62.208,0.992
2023-01-01 16:00,2023-01-01 16:00,9.308,0.323,0,0,1.226,0,0,0.986
2023-01-01 17:00,2023-01-01 17:00,8.769,0.418,0,0,1.228,0,0,0.965
2023-01-01 18:00,2023-01-01 18:00,8.184,0.467,0,0,1.231,0,0,0.966
2023-01-01 19:00,2023-01-01 19:00,7.387,0.195,0,0,1.233,0,0,0.964
2023-01-01 20:00,2023-01-01 20:00,6.763,0.073,0,0,1.234,0,0,0.963
2023-01-01 21:00,2023-01-01 21:00,6.428,0.055,0,0,1.235,0,0,0.962
2023-01-01 22:00,2023-01-01 22:00,6.354,0.056,0,0,1.236,0,0,0.958
2023-01-01 23:00,2023-01-01 23:00,6.490,0.056,0,0,1.237,0,0,0.970
2023-01-02 00:00,2023-01-02 00:00,6.643,0.058,0,0,1.238,0,0,0.987
2023-01-02 01:00,2023-01-02 01:00,6.699,0.056,0,0,1.240,0,0,0.992
2023-01-02 02:00,2023-01-02 02:00,6.665,0.062,0,0,1.241,0,0,0.990
2023-01-02 03:00,2023-01-02 03:00,6.709,0.058,0,0,1.242,0,0,0.989
2023-01-02 04:00,2023-01-02 04:00,6.652,0.052,0,0,1.243,0,0,0.992
2023-01-02 05:00,2023-01-02 05:00,6.620,0.047,0,0,1.244,0,0,0.995
2023-01-02 06:00,2023-01-02 06:00,6.534,0.067,0,0,1.246,0,0,0.989
2023-01-02 07:00,2023-01-02 07:00,6.465,0.103,0,0,1.248,0,0,0.977
2023-01-02 08:00,2023-01-02 08:00,6.338,0.150,0,0,1.250,6.448,59.943,0.952
2023-01-02 09:00,2023-01-02 09:00,6.426,0.136,0,0,1.252,28.190,206.613,0.863
2023-01-02 10:00,2023-01-02 10:00,6.585,0.100,0,0,1.253,67.661,312.310,0.649
2023-01-02 11:00,2023-01-02 11:00,6.846,0.053,0,0,1.253,140.722,367.327,0.329
2023-01-02 12:00,2023-01-02 12:00,7.194,0.011,0,0,1.253,212.635,368.093,0.212
2023-01-02 13:00,2023-01-02 13:00,7.192,0.003,0,0,1.253,192.439,314.447,0.342
2023-01-02 14:00,2023-01-02 14:00,6.570,0.001,0,0,1.255,109.586,210.033,0.463
2023-01-02 15:00,2023-01-02 15:00,4.284,0.001,0,0,1.257,24.936,63.746,0.286
2023-01-02 16:00,2023-01-02 16:00,2.717,0.001,0,0,1.260,0,0,0.104
2023-01-02 17:00,2023-01-02 17:00,2.251,0.001,0,0,1.262,0,0,0.042
2023-01-02 18:00,2023-01-02 18:00,1.850,0,0,0,1.264,0,0,0.332
2023-01-02 19:00,2023-01-02 19:00,1.659,0,0,0,1.266,0,0,0.673
2023-01-02 20:00,2023-01-02 20:00,1.398,0,0,0,1.267,0,0,0.439
2023-01-02 21:00,2023-01-02 21:00,0.859,0.001,0,0,1.268,0,0,0.123
2023-01-02 22:00,2023-01-02 22:00,0.303,0.009,0,0,1.269,0,0,0.004
2023-01-02 23:00,2023-01-02 23:00,-0.044,0.013,0,0,1.269,0,0,0.014
2023-01-03 00:00,2023-01-03 00:00,0.099,0.024,0,0,1.268,0,0,0.073
2023-01-03 01:00,2023-01-03 01:00,0.875,0.022,0,0,1.265,0,0,0.216
2023-01-03 02:00,2023-01-03 02:00,2.113,0.020,0,0,1.262,0,0,0.354
2023-01-03 03:00,2023-01-03 03:00,3.226,0.014,0,0,1.259,0,0,0.446
2023-01-03 04:00,2023-01-03 04:00,4.155,0.008,0,0,1.256,0,0,0.657
2023-01-03 05:00,2023-01-03 05:00,4.815,0.014,0,0,1.254,0,0,0.936
2023-01-03 06:00,2023-01-03 06:00,5.867,0.037,0,0,1.253,0,0,0.997
2023-01-03 07:00,2023-01-03 07:00,6.736,0.122,0,0,1.253,0,0,0.997
2023-01-03 08:00,2023-01-03 08:00,7.319,0.227,0,0,1.251,6.515,61.545,0.994
2023-01-03 09:00,2023-01-03 09:00,7.927,0.260,0,0,1.248,25.269,208.595,0.991
2023-01-03 10:00,2023-01-03 10:00,8.511,0.597,0,0,1.245,49.084,314.310,0.986
2023-01-03 11:00,2023-01-03 11:00,9.043,0.554,0,0,1.242,51.308,369.452,0.994
2023-01-03 12:00,2023-01-03 12:00,9.334,0.194,0,0,1.240,37.274,370.218,0.995
2023-01-03 13:00,2023-01-03 13:00,9.631,0.149,0,0,1.238,37.232,316.483,0.991
2023-01-03 14:00,2023-01-03 14:00,9.840,0.091,0,0,1.236,17.076,212.095,0.993
2023-01-03 15:00,2023-01-03 15:00,9.949,0.111,0,0,1.234,3.346,65.441,0.996
2023-01-03 16:00,2023-01-03 16:00,10.059,0.453,0,0,1.233,0,0,0.992
2023-01-03 17:00,2023-01-03 17:00,10.234,0.807,0,0,1.231,0,0,0.994
2023-01-03 18:00,2023-01-03 18:00,10.433,0.649,0,0,1.229,0,0,0.992
2023-01-03 19:00,2023-01-03 19:00,10.733,0.516,0,0,1.227,0,0,0.990
2023-01-03 20:00,2023-01-03 20:00,11.108,0.342,0,0,1.225,0,0,0.989
2023-01-03 21:00,2023-01-03 21:00,11.433,0.087,0,0,1.224,0,0,0.995
2023-01-03 22:00,2023-01-03 22:00,11.569,0.050,0,0,1.223,0,0,0.996
2023-01-03 23:00,2023-01-03 23:00,11.584,0.043,0,0,1.222,0,0,0.996
2023-01-04 00:00,2023-01-04 00:00,11.591,0.047,0,0,1.222,0,0,0.996
2023-01-04 01:00,2023-01-04 01:00,11.607,0.052,0,0,1.221,0,0,0.995
2023-01-04 02:00,2023-01-04 02:00,11.596,0.062,0,0,1.221,0,0,0.996
2023-01-04 03:00,2023-01-04 03:00,11.600,0.079,0,0,1.221,0,0,0.997
2023-01-04 04:00,2023-01-04 04:00,11.595,0.128,0,0,1.221,0,0,0.995
2023-01-04 05:00,2023-01-04 05:00,11.566,0.169,0,0,1.221,0,0,0.987
2023-01-04 06:00,2023-01-04 06:00,11.608,0.088,0,0,1.221,0,0,0.983
2023-01-04 07:00,2023-01-04 07:00,11.644,0.042,0,0,1.221,0,0,0.983
2023-01-04 08:00,2023-01-04 08:00,11.682,0.030,0,0,1.222,6.551,63.300,0.993
2023-01-04 09:00,2023-01-04 09:00,11.829,0.029,0,0,1.222,25.947,210.738,0.991
2023-01-04 10:00,2023-01-04 10:00,12.021,0.028,0,0,1.221,48.588,316.560,0.990
2023-01-04 11:00,2023-01-04 11:00,12.180,0.027,0,0,1.221,59.953,371.791,0.993
2023-01-04 12:00,2023-01-04 12:00,12.251,0.034,0,0,1.221,61.188,372.468,0.992
2023-01-04 13:00,2023-01-04 13:00,12.313,0.025,0,0,1.221,112.129,318.822,0.976
2023-01-04 14:00,2023-01-04 14:00,11.931,0.014,0,0,1.223,96.825,214.283,0.952
2023-01-04 15:00,2023-01-04 15:00,11.108,0.009,0,0,1.225,24.097,67.300,0.922
2023-01-04 16:00,2023-01-04 16:00,10.294,0.006,0,0,1.229,0,0,0.775
2023-01-04 17:00,2023-01-04 17:00,9.779,0.004,0,0,1.232,0,0,0.931
2023-01-04 18:00,2023-01-04 18:00,9.523,0.005,0,0,1.234,0,0,0.952
2023-01-04 19:00,2023-01-04 19:00,9.437,0.007,0,0,1.235,0,0,0.953
2023-01-04 20:00,2023-01-04 20:00,9.492,0.009,0,0,1.236,0,0,0.860
2023-01-04 21:00,2023-01-04 21:00,9.503,0.011,0,0,1.237,0,0,0.739
2023-01-04 22:00,2023-01-04 22:00,9.415,0.013,0,0,1.238,0,0,0.809
2023-01-04 23:00,2023-01-04 23:00,9.306,0.014,0,0,1.239,0,0,0.933
2023-01-05 00:00,2023-01-05 00:00,9.211,0.015,0,0,1.240,0,0,0.983
2023-01-05 01:00,2023-01-05 01:00,9.171,0.014,0,0,1.241,0,0,0.985
2023-01-05 02:00,2023-01-05 02:00,9.131,0.014,0,0,1.242,0,0,0.984
2023-01-05 03:00,2023-01-05 03:00,9.008,0.015,0,0,1.242,0,0,0.973
2023-01-05 04:00,2023-01-05 04:00,8.913,0.016,0,0,1.243,0,0,0.958
2023-01-05 05:00,2023-01-05 05:00,8.825,0.014,0,0,1.243,0,0,0.878
2023-01-05 06:00,2023-01-05 06:00,8.643,0.018,0,0,1.244,0,0,0.837
2023-01-05 07:00,2023-01-05 07:00,8.467,0.024,0,0,1.244,0,0,0.937
2023-01-05 08:00,2023-01-05 08:00,8.695,0.020,0,0,1.244,10.220,65.215,0.976
2023-01-05 09:00,2023-01-05 09:00,9.419,0.021,0,0,1.241,45.781,213.050,0.975
2023-01-05 10:00,2023-01-05 10:00,10.466,0.020,0,0,1.237,85.465,319.024,0.972
2023-01-05 11:00,2023-01-05 11:00,11.463,0.015,0,0,1.232,124.157,374.202,0.964
2023-01-05 12:00,2023-01-05 12:00,12.088,0.025,0,0,1.229,145.696,374.968,0.955
2023-01-05 13:00,2023-01-05 13:00,12.247,0.029,0,0,1.227,146.438,321.233,0.949
2023-01-05 14:00,2023-01-05 14:00,11.815,0.025,0,0,1.227,86.962,216.613,0.949
2023-01-05 15:00,2023-01-05 15:00,10.972,0.024,0,0,1.229,20.544,69.327,0.953
2023-01-05 16:00,2023-01-05 16:00,10.251,0.026,0,0,1.232,0,0,0.957
2023-01-05 17:00,2023-01-05 17:00,10.039,0.022,0,0,1.233,0,0,0.958
2023-01-05 18:00,2023-01-05 18:00,9.916,0.041,0,0,1.233,0,0,0.958
2023-01-05 19:00,2023-01-05 19:00,9.921,0.042,0,0,1.232,0,0,0.960
2023-01-05 20:00,2023-01-05 20:00,10.059,0.064,0,0,1.231,0,0,0.968
2023-01-05 21:00,2023-01-05 21:00,10.134,0.072,0,0,1.231,0,0,0.968
2023-01-05 22:00,2023-01-05 22:00,10.055,0.071,0,0,1.230,0,0,0.981
2023-01-05 23:00,2023-01-05 23:00,10.092,0.089,0,0,1.230,0,0,0.995
2023-01-06 00:00,2023-01-06 00:00,10.222,0.206,0,0,1.228,0,0,0.989
